Name,Team,Wk17,Pos,P Rk,Rank,ADP,Rookie,+/-,id
Malik Nabers,NYG,IND,WR,WR15,21,25.2,Rookie,4.2,12dc1620-9e6e-4ea6-81db-325a12cf154c
Davante Adams,LV,NO,WR,WR16,22,22.4,,0.4,6591b1cf-50ee-4c6d-964c-2b26ad46bfde
Brandon Aiyuk,SF,DET,WR,WR17,23,26.1,,3.1,c3032705-9198-4d1b-ba45-3d5eb7983645
DeVonta Smith,PHI,DAL,WR,WR18,24,26.8,,2.8,c0c23fc3-862e-481f-824b-04ee87c01392
Cooper Kupp,LAR,ARI,WR,WR19,25,22.3,,-2.7,07d3867e-0154-4152-a798-18d6c7accd42
Mike Evans,TB,CAR,WR,WR20,26,25.8,,-0.2,8da0dbe1-4d06-45f3-830a-2112443c2466
Kyren Williams,LAR,ARI,RB,RB7,27,26.7,,-0.3,2ea6b394-3237-4644-8b49-69cf67b6e8a9
DK Metcalf,SEA,CHI,WR,WR21,28,28.7,,0.7,2704e8d7-a534-4bef-9e3d-6d12ff738205
Saquon Barkley,PHI,DAL,RB,RB8,29,18.3,,-10.7,5b733acd-4a48-40f0-9662-51e4540b0351
Stefon Diggs,HOU,BAL,WR,WR22,30,33.7,,3.7,aeec05d9-8fa4-4b9a-a85d-4611dbb12d5f
DJ Moore,CHI,SEA,WR,WR23,31,30.5,,-0.5,f68af97f-836c-472d-8ad2-8b87a19ec178
Zay Flowers,BAL,HOU,WR,WR24,32,38.6,,6.6,0f1d4122-0410-4a08-8ec5-564ad56b8d8c
Tank Dell,HOU,BAL,WR,WR25,33,34.1,,1.1,2df22d1e-e053-42dd-9c5e-480d1196ff25
Travis Kelce,KC,PIT,TE,TE1,34,39.3,,5.3,18a2678b-805b-4ec2-8489-0e677735311b
Sam LaPorta,DET,SF,TE,TE2,35,37.4,,2.4,686108bb-239b-4273-a28a-69b9571cc03d
Derrick Henry,BAL,HOU,RB,RB9,36,29.3,,-6.7,2e8f2806-a076-496d-b610-30c5a9db0098
Josh Allen,BUF,NYJ,QB,QB1,37,37.4,,0.4,66b13037-5e4c-4b36-a7e7-398cbace2e58
Jalen Hurts,PHI,DAL,QB,QB2,38,40.9,,2.9,5e0c0398-4cff-4185-9805-3d5b56cb929b
Tee Higgins,CIN,DEN,WR,WR26,39,42.2,,3.2,d27b174c-ed7e-4138-a2c7-ab3fcd3575b3
Michael Pittman Jr.,IND,NYG,WR,WR27,40,35.7,,-4.3,0c4fb388-7ebc-4e40-947f-90ba2e7f60a3
Patrick Mahomes,KC,PIT,QB,QB3,41,43.8,,2.8,1028d0c1-94d4-463f-9a3d-3c0bebb060db
Isiah Pacheco,KC,PIT,RB,RB10,42,34.8,,-7.2,951c3ab5-1b70-43de-a537-16376027a240
Amari Cooper,CLE,MIA,WR,WR28,43,41.0,,-2,2426f790-2c33-4a1d-9074-0a2975affc5d
Mark Andrews,BAL,HOU,TE,TE3,44,49.4,,5.4,b73379fb-c0bf-4624-bb87-5b9daf7ae1ed
Trey McBride,ARI,LAR,TE,TE4,45,46.1,,1.1,eb7bc4df-1285-4d03-94d4-bf9ab58eea87
Rashee Rice,KC,PIT,WR,WR29,46,48.3,,2.3,d763e0dc-b773-483d-be2a-a49c5ee0046d
George Pickens,PIT,KC,WR,WR30,47,45.4,,-1.6,0c410b1a-19f9-415f-ae96-11dc81d258dc
Christian Kirk,JAX,TEN,WR,WR31,48,49.9,,1.9,3641f3d1-3ff6-4d44-91db-47834e41227b
James Cook,BUF,NYJ,RB,RB11,49,54.6,,5.6,d7025fba-a9fc-4295-8a27-b194556a90f9
Travis Etienne Jr.,JAX,TEN,RB,RB12,50,41.4,,-8.6,a9ad9af2-611c-4c9b-9e07-687f619a55ce
Lamar Jackson,BAL,HOU,QB,QB4,51,47.7,,-3.3,f258ff18-d5fd-4dce-af9a-958900eecf52
Dalton Kincaid,BUF,NYJ,TE,TE5,52,52.2,,0.2,5fd1a37f-4c31-4cc1-82b5-ce980d353aaa
Josh Jacobs,GB,MIN,RB,RB13,53,49.8,,-3.2,993baded-bd48-4787-b0ad-ac2996be73a4
Anthony Richardson,IND,NYG,QB,QB5,54,57.1,,3.1,e5c2cbd7-65b7-41a9-b81d-a6e1313571fd
Terry McLaurin,WAS,ATL,WR,WR32,55,51.7,,-3.3,84b4c137-2193-4e4b-b3de-a74f2eed2ad3
Keenan Allen,CHI,SEA,WR,WR33,56,56.7,,0.7,079b90e6-3ce0-4952-88a6-8e2a3003d6fe
Xavier Worthy,KC,PIT,WR,WR34,57,60.0,Rookie,3,f1af93fd-af0e-4380-8ae4-519f04a8673c
Kyle Pitts,ATL,WAS,TE,TE6,58,60.5,,2.5,4ffdccda-f8a4-4ec4-90a6-0ddf19626a93
George Kittle,SF,DET,TE,TE7,59,64.1,,5.1,0d22526b-00d4-4f61-9c71-7540cd373543
Calvin Ridley,TEN,JAX,WR,WR35,60,56.5,,-3.5,cc6cf04a-9ebb-4f4d-9d39-cc637b2da612
Jayden Reed,GB,MIN,WR,WR36,61,59.7,,-1.3,501824d3-4a54-4af2-b44a-d3ecd1963f1d
